<antigua:FastEthernet0/1, guadeloupe:FastEthernet0/1>
<nodeid63:FastEthernet1/1, nodeid62:FastEthernet0/1>
<nodeid67:FastEthernet0/1, honduras:FastEthernet1/0>
<nodeid67:FastEthernet1/0, nodeid28:FastEthernet1/1>
<nodeid67:FastEthernet1/1, nodeid29:FastEthernet1/1>
<nodeid69:FastEthernet0/1, nicaragua:FastEthernet1/0>
<nodeid69:FastEthernet1/0, nodeid60:FastEthernet1/0>
<nodeid7:FastEthernet0/1, nodeid1:FastEthernet2/1>
<nodeid7:FastEthernet1/0, venezuela:FastEthernet1/0>
<nodeid8:FastEthernet0/1, nodeid50:FastEthernet0/1>
<nodeid8:FastEthernet1/0, stcroix:FastEthernet1/1>
<nodeid8:FastEthernet1/1, stmartin:FastEthernet0/1>
<nodeid9:FastEthernet0/1, costarica:FastEthernet1/0>
<nodeid9:FastEthernet1/0, nodeid27:FastEthernet1/0>
<nodeid9:FastEthernet1/1, nodeid46:FastEthernet1/1>
<panama:FastEthernet0/1, costarica:FastEthernet1/1>
<panama:FastEthernet1/0, nodeid27:FastEthernet1/1>
<panama:FastEthernet1/1, nodeid34:FastEthernet1/0>
<puertorico:FastEthernet0/1, curacao:FastEthernet1/0>
<puertorico:FastEthernet1/0, nodeid50:FastEthernet1/0>
<puertorico:FastEthernet1/1, nodeid56:FastEthernet1/0>
<puertorico:FastEthernet2/0, stmartin:FastEthernet1/0>
<stcroix:FastEthernet0/1, nodeid22:FastEthernet2/0>
<stcroix:FastEthernet1/0, nodeid50:FastEthernet1/1>
<stcroix:FastEthernet1/1, nodeid8:FastEthernet1/0>
<stkittsnevis:FastEthernet0/1, antigua:FastEthernet1/0>
<stkittsnevis:FastEthernet1/0, dominica:FastEthernet1/1>
<stkittsnevis:FastEthernet1/1, stmartin:FastEthernet1/1>
<stmartin:FastEthernet0/1, nodeid8:FastEthernet1/1>
<stmartin:FastEthernet1/0, puertorico:FastEthernet2/0>
<stmartin:FastEthernet1/1, stkittsnevis:FastEthernet1/1>
<stvincent:FastEthernet0/1, curacao:FastEthernet1/1>
<stvincent:FastEthernet1/0, trinidadandtobago:FastEthernet1/1>
<suriname:FastEthernet0/1, nodeid35:FastEthernet1/0>
<trinidadandtobago:FastEthernet0/1, grenada:FastEthernet1/0>
<trinidadandtobago:FastEthernet1/0, nodeid35:FastEthernet1/1>
<trinidadandtobago:FastEthernet1/1, stvincent:FastEthernet1/0>
<turksandcaicos:FastEthernet0/1, dominicanrepublic:FastEthernet1/1>
<turksandcaicos:FastEthernet1/0, nodeid17:FastEthernet1/0>
<usa:FastEthernet0/1, nodeid33:FastEthernet1/1>
<usa:FastEthernet1/0, nodeid38:FastEthernet1/1>
<venezuela:FastEthernet0/1, curacao:FastEthernet2/0>
<venezuela:FastEthernet1/0, nodeid7:FastEthernet1/0>
